t,ns,marker_id,angle_error_deg,miss_distance_m,range_m
1788858279.714,selected_bearing_rays,0,-15.824,48.32,177.19
1788858279.734,selected_bearing_rays,0,-15.189,46.41,177.15
1788858279.753,selected_bearing_rays,0,-13.655,41.82,177.13
1788858279.773,selected_bearing_rays,0,-12.925,39.61,177.10
1788858279.800,selected_bearing_rays,0,-12.375,37.95,177.06
1788858279.825,selected_bearing_rays,0,-12.004,36.82,177.04
1788858279.855,selected_bearing_rays,0,-11.327,34.76,176.99
1788858279.911,selected_bearing_rays,0,-10.858,33.33,176.92
1788858279.932,selected_bearing_rays,0,-11.239,34.48,176.90
1788858279.949,selected_bearing_rays,0,-11.776,36.10,176.88
1788858279.978,selected_bearing_rays,0,-12.663,38.77,176.84
1788858280.003,selected_bearing_rays,0,-12.925,39.55,176.81
1788858280.031,selected_bearing_rays,0,-13.689,41.83,176.76
1788858280.052,selected_bearing_rays,0,-13.940,42.57,176.72
1788858280.072,selected_bearing_rays,0,-14.161,43.23,176.69
1788858280.105,selected_bearing_rays,0,-14.450,44.08,176.65
1788858280.133,selected_bearing_rays,0,-14.760,44.99,176.59
1788858280.158,selected_bearing_rays,0,-15.009,45.72,176.54
1788858280.178,selected_bearing_rays,0,-15.232,46.37,176.51
1788858280.203,selected_bearing_rays,0,-15.286,46.53,176.48
1788858280.233,selected_bearing_rays,0,-15.190,46.23,176.43
1788858280.248,selected_bearing_rays,0,-15.028,45.74,176.39
1788858280.277,selected_bearing_rays,0,-14.850,45.20,176.36
1788858280.313,selected_bearing_rays,0,-14.702,44.75,176.31
1788858280.341,selected_bearing_rays,0,-14.023,42.72,176.28
1788858280.356,selected_bearing_rays,0,-13.486,41.11,176.26
1788858280.386,selected_bearing_rays,0,-12.676,38.67,176.23
1788858280.421,selected_bearing_rays,0,-12.111,36.97,176.20
1788858280.440,selected_bearing_rays,0,-11.559,35.30,176.19
1788858280.468,selected_bearing_rays,0,-11.069,33.82,176.16
1788858280.494,selected_bearing_rays,0,-11.162,34.10,176.13
1788858280.523,selected_bearing_rays,0,-12.198,37.21,176.10
1788858280.552,selected_bearing_rays,0,-12.573,38.33,176.07
1788858280.579,selected_bearing_rays,0,-13.327,40.58,176.03
1788858280.600,selected_bearing_rays,0,-13.829,42.07,176.01
1788858280.635,selected_bearing_rays,0,-14.461,43.94,175.96
1788858280.660,selected_bearing_rays,0,-14.788,44.90,175.92
1788858280.681,selected_bearing_rays,0,-15.025,45.60,175.89
1788858280.714,selected_bearing_rays,0,-15.262,46.29,175.84
1788858280.747,selected_bearing_rays,0,-15.493,46.95,175.78
1788858280.771,selected_bearing_rays,0,-16.072,48.66,175.75
1788858280.793,selected_bearing_rays,0,-15.932,48.23,175.72
1788858280.815,selected_bearing_rays,0,-16.078,48.66,175.69
1788858280.843,selected_bearing_rays,0,-16.024,48.49,175.66
1788858280.869,selected_bearing_rays,0,-15.871,48.02,175.60
1788858280.890,selected_bearing_rays,0,-15.960,48.28,175.57
1788858280.910,selected_bearing_rays,0,-15.488,46.88,175.54
1788858280.939,selected_bearing_rays,0,-15.215,46.06,175.50
1788858280.958,selected_bearing_rays,0,-14.904,45.14,175.48
1788858280.972,selected_bearing_rays,0,-14.654,44.39,175.46
1788858280.996,selected_bearing_rays,0,-14.389,43.60,175.43
1788858281.019,selected_bearing_rays,0,-14.155,42.89,175.40
1788858281.033,selected_bearing_rays,0,-13.948,42.28,175.38
1788858281.064,selected_bearing_rays,0,-13.841,41.95,175.34
1788858281.098,selected_bearing_rays,0,-13.441,40.75,175.30
1788858281.119,selected_bearing_rays,0,-13.521,40.98,175.27
1788858281.138,selected_bearing_rays,0,-13.479,40.85,175.24
1788858281.171,selected_bearing_rays,0,-12.686,38.48,175.20
1788858281.209,selected_bearing_rays,0,-12.730,38.60,175.16
1788858281.242,selected_bearing_rays,0,-12.231,37.10,175.13
1788858281.261,selected_bearing_rays,0,-12.788,38.76,175.12
1788858281.284,selected_bearing_rays,0,-13.132,39.78,175.10
1788858281.308,selected_bearing_rays,0,-13.165,39.87,175.06
1788858281.335,selected_bearing_rays,0,-13.267,40.17,175.04
1788858281.357,selected_bearing_rays,0,-13.163,39.85,175.01
1788858281.372,selected_bearing_rays,0,-13.281,40.20,175.00
1788858281.394,selected_bearing_rays,0,-13.433,40.65,174.98
1788858281.428,selected_bearing_rays,0,-14.024,42.39,174.93
1788858281.459,selected_bearing_rays,0,-14.428,43.58,174.90
1788858281.498,selected_bearing_rays,0,-15.394,46.42,174.86
1788858281.535,selected_bearing_rays,0,-16.168,48.68,174.81
1788858281.558,selected_bearing_rays,0,-16.181,48.70,174.77
1788858281.590,selected_bearing_rays,0,-16.395,49.32,174.73
1788858281.650,selected_bearing_rays,1,-9.671,29.34,174.65
1788858281.651,selected_bearing_rays,0,-15.491,46.65,174.65
1788858281.669,selected_bearing_rays,0,-15.049,45.34,174.62
1788858281.691,selected_bearing_rays,0,-14.847,44.74,174.59
1788858281.732,selected_bearing_rays,0,-14.274,43.03,174.53
1788858281.755,selected_bearing_rays,0,-14.344,43.23,174.51
1788858281.775,selected_bearing_rays,1,-8.735,26.50,174.48
1788858281.801,selected_bearing_rays,1,-8.605,26.10,174.44
1788858281.801,selected_bearing_rays,0,-14.331,43.18,174.44
1788858281.823,selected_bearing_rays,1,-8.599,26.08,174.41
1788858281.853,selected_bearing_rays,0,-14.249,42.92,174.37
1788858281.870,selected_bearing_rays,0,-14.293,43.04,174.35
1788858281.870,selected_bearing_rays,1,-8.476,25.70,174.35
1788858281.887,selected_bearing_rays,0,-14.310,43.09,174.33
1788858281.914,selected_bearing_rays,0,-14.115,42.51,174.31
1788858281.945,selected_bearing_rays,0,-14.444,43.47,174.27
1788858281.965,selected_bearing_rays,0,-14.676,44.15,174.24
1788858281.965,selected_bearing_rays,1,-8.686,26.31,174.24
1788858282.010,selected_bearing_rays,0,-14.986,45.04,174.17
1788858282.047,selected_bearing_rays,0,-15.063,45.25,174.11
1788858282.087,selected_bearing_rays,0,-14.588,43.84,174.06
1788858282.119,selected_bearing_rays,0,-14.627,43.94,174.01
1788858282.144,selected_bearing_rays,0,-14.454,43.43,173.99
1788858282.181,selected_bearing_rays,0,-14.346,43.10,173.94
1788858282.222,selected_bearing_rays,0,-14.405,43.26,173.88
1788858282.222,selected_bearing_rays,1,-8.620,26.06,173.88
1788858282.239,selected_bearing_rays,0,-14.475,43.45,173.85
1788858282.239,selected_bearing_rays,1,-8.849,26.74,173.85
1788858282.284,selected_bearing_rays,0,-14.592,43.78,173.79
1788858282.318,selected_bearing_rays,0,-14.621,43.86,173.75
1788858282.348,selected_bearing_rays,0,-14.785,44.32,173.69
1788858282.348,selected_bearing_rays,1,-9.108,27.50,173.69
1788858282.383,selected_bearing_rays,0,-14.910,44.69,173.67
1788858282.430,selected_bearing_rays,0,-14.822,44.41,173.59
1788858282.457,selected_bearing_rays,0,-14.908,44.65,173.55
1788858282.457,selected_bearing_rays,1,-8.992,27.12,173.55
1788858282.476,selected_bearing_rays,0,-14.596,43.73,173.52
1788858282.498,selected_bearing_rays,0,-14.486,43.40,173.49
1788858282.525,selected_bearing_rays,0,-14.329,42.93,173.47
1788858282.525,selected_bearing_rays,1,-8.280,24.98,173.47
1788858282.550,selected_bearing_rays,0,-13.760,41.25,173.42
1788858282.551,selected_bearing_rays,1,-8.304,25.05,173.42
1788858282.584,selected_bearing_rays,0,-13.815,41.40,173.38
1788858282.584,selected_bearing_rays,1,-8.165,24.62,173.38
1788858282.617,selected_bearing_rays,0,-13.829,41.43,173.32
1788858282.617,selected_bearing_rays,1,-8.091,24.39,173.32
1788858282.660,selected_bearing_rays,0,-13.933,41.72,173.27
1788858282.690,selected_bearing_rays,0,-14.058,42.08,173.23
1788858282.714,selected_bearing_rays,0,-14.164,42.38,173.20
1788858282.714,selected_bearing_rays,1,-8.619,25.96,173.20
1788858282.741,selected_bearing_rays,0,-14.290,42.74,173.16
1788858282.762,selected_bearing_rays,0,-14.364,42.95,173.13
1788858282.763,selected_bearing_rays,1,-8.361,25.18,173.13
1788858282.792,selected_bearing_rays,0,-14.253,42.61,173.08
1788858282.792,selected_bearing_rays,1,-8.354,25.15,173.08
1788858282.811,selected_bearing_rays,0,-14.268,42.65,173.06
1788858282.811,selected_bearing_rays,1,-8.250,24.83,173.06
1788858282.837,selected_bearing_rays,0,-14.260,42.62,173.01
1788858282.837,selected_bearing_rays,1,-8.239,24.79,173.01
1788858282.856,selected_bearing_rays,0,-14.199,42.44,173.00
1788858282.878,selected_bearing_rays,1,-8.055,24.24,172.96
1788858282.898,selected_bearing_rays,1,-8.000,24.07,172.95
1788858282.898,selected_bearing_rays,0,-13.984,41.79,172.95
1788858282.922,selected_bearing_rays,1,-7.704,23.18,172.91
1788858282.923,selected_bearing_rays,0,-13.710,40.98,172.91
1788858282.951,selected_bearing_rays,0,-13.424,40.13,172.87
1788858282.997,selected_bearing_rays,0,-13.142,39.29,172.81
1788858282.997,selected_bearing_rays,1,-7.264,21.85,172.81
1788858283.017,selected_bearing_rays,0,-13.253,39.61,172.78
1788858283.042,selected_bearing_rays,0,-13.678,40.85,172.74
1788858283.043,selected_bearing_rays,1,-7.722,23.21,172.74
1788858283.068,selected_bearing_rays,0,-14.148,42.21,172.70
1788858283.068,selected_bearing_rays,1,-8.145,24.47,172.70
1788858283.102,selected_bearing_rays,0,-14.493,43.21,172.66
1788858283.102,selected_bearing_rays,1,-8.548,25.66,172.66
1788858283.120,selected_bearing_rays,0,-14.585,43.47,172.63
1788858283.140,selected_bearing_rays,0,-14.615,43.55,172.61
1788858283.162,selected_bearing_rays,0,-14.082,41.99,172.58
1788858283.184,selected_bearing_rays,0,-14.550,43.35,172.56
1788858283.235,selected_bearing_rays,0,-15.204,45.23,172.47
1788858283.254,selected_bearing_rays,0,-15.284,45.46,172.44
1788858283.254,selected_bearing_rays,1,-9.277,27.80,172.44
1788858283.274,selected_bearing_rays,0,-15.032,44.71,172.40
1788858283.274,selected_bearing_rays,1,-9.330,27.95,172.40
1788858283.301,selected_bearing_rays,0,-15.561,46.24,172.35
1788858283.301,selected_bearing_rays,1,-9.629,28.83,172.35
1788858283.332,selected_bearing_rays,0,-15.425,45.83,172.31
1788858283.356,selected_bearing_rays,0,-15.101,44.88,172.27
1788858283.356,selected_bearing_rays,1,-9.084,27.20,172.27
1788858283.374,selected_bearing_rays,0,-14.680,43.65,172.26
1788858283.375,selected_bearing_rays,1,-8.695,26.04,172.26
1788858283.398,selected_bearing_rays,0,-14.074,41.88,172.22
1788858283.399,selected_bearing_rays,1,-8.030,24.06,172.22
1788858283.422,selected_bearing_rays,0,-13.471,40.12,172.20
1788858283.422,selected_bearing_rays,1,-7.396,22.17,172.20
1788858283.444,selected_bearing_rays,0,-13.065,38.92,172.17
1788858283.444,selected_bearing_rays,1,-7.004,20.99,172.17
1788858283.474,selected_bearing_rays,0,-11.578,34.55,172.14
1788858283.474,selected_bearing_rays,1,-6.129,18.38,172.14
1788858283.525,selected_bearing_rays,0,-10.803,32.26,172.10
1788858283.525,selected_bearing_rays,1,-5.011,15.03,172.10
1788858283.550,selected_bearing_rays,0,-10.675,31.87,172.07
1788858283.550,selected_bearing_rays,1,-4.807,14.42,172.07
1788858283.577,selected_bearing_rays,0,-10.866,32.43,172.05
1788858283.577,selected_bearing_rays,1,-5.072,15.21,172.05
1788858283.618,selected_bearing_rays,0,-10.762,32.12,172.01
1788858283.618,selected_bearing_rays,1,-5.308,15.91,172.01
1788858283.641,selected_bearing_rays,0,-12.610,37.55,172.00
1788858283.658,selected_bearing_rays,0,-13.154,39.14,171.98
1788858283.658,selected_bearing_rays,1,-7.212,21.59,171.98
1788858283.685,selected_bearing_rays,0,-13.491,40.12,171.96
1788858283.719,selected_bearing_rays,0,-13.810,41.04,171.92
1788858283.720,selected_bearing_rays,1,-7.777,23.26,171.92
1788858283.744,selected_bearing_rays,0,-13.989,41.55,171.90
1788858283.745,selected_bearing_rays,1,-7.997,23.92,171.90
1788858283.769,selected_bearing_rays,0,-13.994,41.56,171.86
1788858283.793,selected_bearing_rays,0,-13.993,41.55,171.84
1788858283.793,selected_bearing_rays,1,-7.955,23.78,171.84
1788858283.819,selected_bearing_rays,0,-13.928,41.36,171.82
1788858283.819,selected_bearing_rays,1,-7.908,23.64,171.82
1788858283.844,selected_bearing_rays,0,-13.900,41.27,171.80
1788858283.844,selected_bearing_rays,1,-7.874,23.54,171.80
1788858283.871,selected_bearing_rays,0,-13.908,41.29,171.77
1788858283.872,selected_bearing_rays,1,-7.896,23.60,171.77
1788858283.899,selected_bearing_rays,0,-14.065,41.74,171.75
1788858283.900,selected_bearing_rays,1,-7.955,23.77,171.75
1788858283.919,selected_bearing_rays,0,-14.136,41.94,171.73
1788858283.947,selected_bearing_rays,0,-14.108,41.85,171.71
1788858283.948,selected_bearing_rays,1,-8.448,25.22,171.71
1788858283.974,selected_bearing_rays,0,-13.857,41.12,171.69
1788858283.974,selected_bearing_rays,1,-8.391,25.05,171.69
1788858284.005,selected_bearing_rays,0,-13.949,41.38,171.67
1788858284.036,selected_bearing_rays,0,-14.207,42.12,171.62
1788858284.037,selected_bearing_rays,1,-8.835,26.36,171.62
1788858284.066,selected_bearing_rays,0,-14.655,43.41,171.60
1788858284.066,selected_bearing_rays,1,-8.774,26.18,171.60
1788858284.103,selected_bearing_rays,0,-15.177,44.91,171.56
1788858284.103,selected_bearing_rays,1,-9.145,27.27,171.56
1788858284.135,selected_bearing_rays,0,-15.472,45.76,171.53
1788858284.168,selected_bearing_rays,0,-15.470,45.75,171.51
1788858284.168,selected_bearing_rays,1,-9.354,27.88,171.51
1788858284.189,selected_bearing_rays,0,-15.302,45.25,171.48
1788858284.190,selected_bearing_rays,1,-9.079,27.06,171.48
1788858284.225,selected_bearing_rays,0,-14.678,43.45,171.47
1788858284.225,selected_bearing_rays,1,-8.432,25.14,171.47
1788858284.251,selected_bearing_rays,0,-13.957,41.35,171.45
1788858284.251,selected_bearing_rays,1,-7.709,23.00,171.45
1788858284.275,selected_bearing_rays,0,-13.687,40.56,171.44
1788858284.301,selected_bearing_rays,0,-13.216,39.19,171.42
1788858284.327,selected_bearing_rays,0,-12.850,38.12,171.41
1788858284.351,selected_bearing_rays,0,-12.115,35.97,171.40
1788858284.383,selected_bearing_rays,0,-12.913,38.30,171.38
1788858284.383,selected_bearing_rays,1,-7.357,21.95,171.38
1788858284.413,selected_bearing_rays,0,-13.239,39.24,171.35
1788858284.437,selected_bearing_rays,0,-13.861,41.05,171.33
1788858284.457,selected_bearing_rays,0,-14.338,42.43,171.32
1788858284.458,selected_bearing_rays,1,-8.189,24.40,171.32
1788858284.474,selected_bearing_rays,0,-14.720,43.53,171.32
1788858284.475,selected_bearing_rays,1,-8.583,25.57,171.32
1788858284.503,selected_bearing_rays,0,-14.831,43.85,171.30
1788858284.534,selected_bearing_rays,0,-14.783,43.70,171.28
1788858284.535,selected_bearing_rays,1,-8.724,25.98,171.28
1788858284.559,selected_bearing_rays,0,-14.912,44.07,171.25
1788858284.559,selected_bearing_rays,1,-8.813,26.24,171.25
1788858284.577,selected_bearing_rays,0,-15.043,44.44,171.24
1788858284.577,selected_bearing_rays,1,-8.961,26.67,171.24
1788858284.605,selected_bearing_rays,0,-15.176,44.82,171.21
1788858284.605,selected_bearing_rays,1,-9.118,27.13,171.21
1788858284.629,selected_bearing_rays,0,-15.366,45.36,171.18
1788858284.629,selected_bearing_rays,1,-9.351,27.81,171.18
1788858284.662,selected_bearing_rays,0,-15.464,45.64,171.16
1788858284.662,selected_bearing_rays,1,-9.406,27.97,171.16
1788858284.678,selected_bearing_rays,0,-15.399,45.44,171.14
1788858284.678,selected_bearing_rays,1,-9.346,27.79,171.14
1788858284.718,selected_bearing_rays,0,-15.482,45.68,171.11
1788858284.719,selected_bearing_rays,1,-9.433,28.04,171.11
1788858284.738,selected_bearing_rays,0,-15.485,45.68,171.10
1788858284.758,selected_bearing_rays,0,-15.517,45.77,171.08
1788858284.774,selected_bearing_rays,0,-15.569,45.92,171.07
1788858284.806,selected_bearing_rays,0,-15.693,46.27,171.05
1788858284.806,selected_bearing_rays,1,-10.054,29.86,171.05
1788858284.825,selected_bearing_rays,0,-15.562,45.89,171.04
1788858284.825,selected_bearing_rays,1,-9.590,28.49,171.04
1788858284.864,selected_bearing_rays,0,-15.272,45.04,171.01
1788858284.864,selected_bearing_rays,1,-9.275,27.56,171.01
1788858284.886,selected_bearing_rays,0,-14.838,43.79,171.00
1788858284.913,selected_bearing_rays,0,-14.447,42.66,170.98
1788858284.941,selected_bearing_rays,0,-14.125,41.72,170.96
1788858284.941,selected_bearing_rays,1,-8.219,24.44,170.96
1788858284.959,selected_bearing_rays,0,-13.541,40.03,170.95
1788858284.959,selected_bearing_rays,1,-8.142,24.21,170.95
1788858284.990,selected_bearing_rays,0,-13.265,39.22,170.92
1788858284.991,selected_bearing_rays,1,-8.000,23.79,170.92
1788858285.017,selected_bearing_rays,0,-13.665,40.38,170.91
1788858285.017,selected_bearing_rays,1,-8.008,23.81,170.91
1788858285.038,selected_bearing_rays,0,-13.985,41.30,170.90
1788858285.054,selected_bearing_rays,0,-13.826,40.84,170.89
1788858285.082,selected_bearing_rays,0,-14.074,41.55,170.88
1788858285.082,selected_bearing_rays,1,-8.155,24.24,170.88
1788858285.112,selected_bearing_rays,0,-13.880,40.99,170.86
1788858285.112,selected_bearing_rays,1,-8.406,24.98,170.86
1788858285.137,selected_bearing_rays,0,-13.927,41.12,170.84
1788858285.161,selected_bearing_rays,0,-14.673,43.27,170.83
1788858285.181,selected_bearing_rays,0,-15.026,44.28,170.81
